time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.13843e-06	9696.25
1	5.13843e-06	1.14942e-05	9696.25
2	1.14942e-05	1.93556e-05	1670.57
3	1.93556e-05	2.90793e-05	1218
4	2.90793e-05	4.11067e-05	1023.66
5	4.11067e-05	5.59834e-05	917.121
6	5.59834e-05	7.43844e-05	850.98
7	7.43844e-05	9.71446e-05	807.328
8	9.71446e-05	0.000125297	777.824
9	0.000125297	0.000160118	757.775
10	0.000160118	0.000203189	744.246
11	0.000203189	0.000256463	735.256
12	0.000256463	0.000322358	729.441
13	0.000322358	0.000403863	725.837
14	0.000403863	0.000504678	723.79
15	0.000504678	0.000629375	722.818
16	0.000629375	0.000783613	722.586
17	0.000783613	0.000974391	722.845
18	0.000974391	0.00121036	723.405
19	0.00121036	0.00150224	724.093
20	0.00150224	0.00186326	724.726
21	0.00186326	0.00230981	725.067
22	0.00230981	0.00286215	724.806
23	0.00286215	0.00354533	723.56
24	0.00354533	0.00439036	720.87
25	0.00439036	0.00543559	716.189
26	0.00543559	0.00672842	708.815
27	0.00672842	0.00832754	692.645
28	0.00832754	0.0103055	692.645
29	0.0103055	0.012752	648.814
30	0.012752	0.0157781	648.814
31	0.0157781	inf	648.814
