time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.54822e-06	4164.99
1	5.54822e-06	1.24108e-05	4164.99
2	1.24108e-05	2.08992e-05	800.252
3	2.08992e-05	3.13985e-05	707.043
4	3.13985e-05	4.4385e-05	676.456
5	4.4385e-05	6.04481e-05	664.773
6	6.04481e-05	8.03166e-05	660.649
7	8.03166e-05	0.000104892	659.977
8	0.000104892	0.000135289	660.872
9	0.000135289	0.000172888	662.443
10	0.000172888	0.000219393	664.261
11	0.000219393	0.000276916	666.125
12	0.000276916	0.000348066	667.929
13	0.000348066	0.000436072	669.632
14	0.000436072	0.000544926	671.233
15	0.000544926	0.000679568	672.749
16	0.000679568	0.000846107	674.19
17	0.000846107	0.0010521	675.562
18	0.0010521	0.00130689	676.849
19	0.00130689	0.00162205	678.028
20	0.00162205	0.00201186	679.044
21	0.00201186	0.00249402	679.816
22	0.00249402	0.0030904	680.227
23	0.0030904	0.00382807	680.113
24	0.00382807	0.0047405	679.274
25	0.0047405	0.00586908	677.432
26	0.00586908	0.00726502	674.193
27	0.00726502	0.00899167	666.442
28	0.00899167	0.0111274	666.442
29	0.0111274	0.013769	641.984
30	0.013769	0.0170364	641.984
31	0.0170364	inf	641.984
