time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.49861e-06	4898.09
1	3.49861e-06	7.82605e-06	4898.09
2	7.82605e-06	1.31787e-05	984.958
3	1.31787e-05	1.97993e-05	899.422
4	1.97993e-05	2.79884e-05	882.036
5	2.79884e-05	3.81175e-05	892.916
6	3.81175e-05	5.06462e-05	914.983
7	5.06462e-05	6.6143e-05	939.054
8	6.6143e-05	8.5311e-05	961.328
9	8.5311e-05	0.00010902	980.816
10	0.00010902	0.000138346	997.567
11	0.000138346	0.000174618	1011.91
12	0.000174618	0.000219484	1024.22
13	0.000219484	0.000274979	1034.79
14	0.000274979	0.000343621	1043.92
15	0.000343621	0.000428524	1051.82
16	0.000428524	0.00053354	1058.67
17	0.00053354	0.000663436	1064.63
18	0.000663436	0.000824103	1069.78
19	0.000824103	0.00102283	1074.17
20	0.00102283	0.00126864	1077.82
21	0.00126864	0.00157268	1080.66
22	0.00157268	0.00194875	1082.57
23	0.00194875	0.00241392	1083.4
24	0.00241392	0.00298928	1082.95
25	0.00298928	0.00370094	1080.95
26	0.00370094	0.0045812	1077.04
27	0.0045812	0.00566999	1067.72
28	0.00566999	0.00701671	1067.72
29	0.00701671	0.00868248	1041.27
30	0.00868248	0.0107429	1041.27
31	0.0107429	inf	1041.27
