time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.3328e-06	4304.81
1	3.3328e-06	7.45515e-06	4304.81
2	7.45515e-06	1.25541e-05	938.942
3	1.25541e-05	1.8861e-05	890.374
4	1.8861e-05	2.6662e-05	884.607
5	2.6662e-05	3.6311e-05	901.799
6	3.6311e-05	4.8246e-05	929.119
7	4.8246e-05	6.30084e-05	958.277
8	6.30084e-05	8.12679e-05	985.429
9	8.12679e-05	0.000103853	1009.36
10	0.000103853	0.000131789	1030
11	0.000131789	0.000166343	1047.67
12	0.000166343	0.000209083	1062.77
13	0.000209083	0.000261947	1075.69
14	0.000261947	0.000327336	1086.77
15	0.000327336	0.000408215	1096.29
16	0.000408215	0.000508255	1104.5
17	0.000508255	0.000631994	1111.59
18	0.000631994	0.000785047	1117.72
19	0.000785047	0.000974359	1122.96
20	0.000974359	0.00120852	1127.36
21	0.00120852	0.00149815	1130.86
22	0.00149815	0.0018564	1133.36
23	0.0018564	0.00229952	1134.68
24	0.00229952	0.00284761	1134.61
25	0.00284761	0.00352554	1132.8
26	0.00352554	0.00436408	1128.76
27	0.00436408	0.00540127	1118.7
28	0.00540127	0.00668418	1118.7
29	0.00668418	0.008271	1092.23
30	0.008271	0.0102337	1092.23
31	0.0102337	inf	1092.23
