time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.89984e-06	10054.2
1	4.89984e-06	1.09605e-05	10054.2
2	1.09605e-05	1.84569e-05	1709.61
3	1.84569e-05	2.77292e-05	1260.67
4	2.77292e-05	3.91981e-05	1064.72
5	3.91981e-05	5.3384e-05	955.945
6	5.3384e-05	7.09306e-05	888.024
7	7.09306e-05	9.2634e-05	843.116
8	9.2634e-05	0.000119479	812.762
9	0.000119479	0.000152684	792.194
10	0.000152684	0.000193754	778.391
11	0.000193754	0.000244555	769.3
12	0.000244555	0.00030739	763.499
13	0.00030739	0.000385112	760.005
14	0.000385112	0.000481245	758.114
15	0.000481245	0.000600152	757.321
16	0.000600152	0.000747229	757.266
17	0.000747229	0.000929149	757.682
18	0.000929149	0.00115417	758.366
19	0.00115417	0.00143249	759.144
20	0.00143249	0.00177675	759.827
21	0.00177675	0.00220256	760.175
22	0.00220256	0.00272925	759.861
23	0.00272925	0.00338072	758.46
24	0.00338072	0.00418651	755.424
25	0.00418651	0.00518321	750.029
26	0.00518321	0.00641602	741.249
27	0.00641602	0.00794088	720.851
28	0.00794088	0.00982699	720.851
29	0.00982699	0.0121599	661.356
30	0.0121599	0.0150455	661.356
31	0.0150455	inf	661.356
