time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.12308e-06	2759.32
1	7.12308e-06	1.59336e-05	2759.32
2	1.59336e-05	2.68314e-05	706.683
3	2.68314e-05	4.03109e-05	579.733
4	4.03109e-05	5.69837e-05	530.251
5	5.69837e-05	7.76063e-05	509.598
6	7.76063e-05	0.000103114	501.658
7	0.000103114	0.000134665	499.658
8	0.000134665	0.000173691	500.469
9	0.000173691	0.000221962	502.602
10	0.000221962	0.000281668	505.301
11	0.000281668	0.000355518	508.197
12	0.000355518	0.000446864	511.097
13	0.000446864	0.00055985	513.903
14	0.00055985	0.000699603	516.569
15	0.000699603	0.000872463	519.071
16	0.000872463	0.00108627	521.407
17	0.00108627	0.00135074	523.582
18	0.00135074	0.00167785	525.601
19	0.00167785	0.00208246	527.463
20	0.00208246	0.00258292	529.152
21	0.00258292	0.00320194	530.636
22	0.00320194	0.00396761	531.865
23	0.00396761	0.00491467	532.793
24	0.00491467	0.00608609	533.388
25	0.00608609	0.00753501	533.634
26	0.00753501	0.00932719	533.517
27	0.00932719	0.0115439	532.689
28	0.0115439	0.0142858	532.689
29	0.0142858	0.0176773	529.333
30	0.0176773	0.0218722	529.333
31	0.0218722	inf	529.333
