time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.84662e-06	5365.94
1	3.84662e-06	8.60452e-06	5365.94
2	8.60452e-06	1.44896e-05	1050.98
3	1.44896e-05	2.17688e-05	930.546
4	2.17688e-05	3.07725e-05	892.372
5	3.07725e-05	4.19092e-05	886.138
6	4.19092e-05	5.56841e-05	892.382
7	5.56841e-05	7.27224e-05	902.578
8	7.27224e-05	9.37971e-05	913.348
9	9.37971e-05	0.000119864	923.513
10	0.000119864	0.000152107	932.73
11	0.000152107	0.000191988	940.962
12	0.000191988	0.000241317	948.294
13	0.000241317	0.000302332	954.817
14	0.000302332	0.000377802	960.613
15	0.000377802	0.00047115	965.765
16	0.00047115	0.000586613	970.337
17	0.000586613	0.000729429	974.386
18	0.000729429	0.000906079	977.947
19	0.000906079	0.00112458	981.031
20	0.00112458	0.00139484	983.607
21	0.00139484	0.00172912	985.592
22	0.00172912	0.0021426	986.856
23	0.0021426	0.00265403	987.215
24	0.00265403	0.00328663	986.42
25	0.00328663	0.00406908	984.121
26	0.00406908	0.0050369	979.83
27	0.0050369	0.00623399	969.776
28	0.00623399	0.00771468	969.776
29	0.00771468	0.00954615	941.884
30	0.00954615	0.0118115	941.884
31	0.0118115	inf	941.884
