time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.61218e-06	3210.37
1	6.61218e-06	1.47908e-05	3210.37
2	1.47908e-05	2.49069e-05	797.608
3	2.49069e-05	3.74196e-05	646.693
4	3.74196e-05	5.28965e-05	582.172
5	5.28965e-05	7.204e-05	552.762
6	7.204e-05	9.57185e-05	540.369
7	9.57185e-05	0.000125007	536.315
8	0.000125007	0.000161233	536.248
9	0.000161233	0.000206042	538.056
10	0.000206042	0.000261465	540.721
11	0.000261465	0.000330019	543.734
12	0.000330019	0.000414813	546.843
13	0.000414813	0.000519695	549.904
14	0.000519695	0.000649424	552.845
15	0.000649424	0.000809886	555.626
16	0.000809886	0.00100836	558.225
17	0.00100836	0.00125386	560.629
18	0.00125386	0.00155751	562.827
19	0.00155751	0.0019331	564.802
20	0.0019331	0.00239766	566.521
21	0.00239766	0.00297229	567.933
22	0.00297229	0.00368304	568.973
23	0.00368304	0.00456217	569.576
24	0.00456217	0.00564956	569.685
25	0.00564956	0.00699456	569.248
26	0.00699456	0.0086582	568.201
27	0.0086582	0.010716	565.743
28	0.010716	0.0132612	565.743
29	0.0132612	0.0164094	558.927
30	0.0164094	0.0203034	558.927
31	0.0203034	inf	558.927
