time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.20762e-06	2180.71
1	4.20762e-06	9.41204e-06	2180.71
2	9.41204e-06	1.58494e-05	290.37
3	1.58494e-05	2.38118e-05	365.646
4	2.38118e-05	3.36604e-05	431.183
5	3.36604e-05	4.58423e-05	491.661
6	4.58423e-05	6.091e-05	548.104
7	6.091e-05	7.95473e-05	599.472
8	7.95473e-05	0.0001026	644.879
9	0.0001026	0.000131113	684.267
10	0.000131113	0.000166382	718.096
11	0.000166382	0.000210006	747.022
12	0.000210006	0.000263964	771.719
13	0.000263964	0.000330705	792.787
14	0.000330705	0.000413258	810.769
15	0.000413258	0.000515367	826.108
16	0.000515367	0.000641665	839.204
17	0.000641665	0.000797885	850.382
18	0.000797885	0.000991112	859.906
19	0.000991112	0.00123012	867.973
20	0.00123012	0.00152574	874.703
21	0.00152574	0.0018914	880.15
22	0.0018914	0.00234368	884.323
23	0.00234368	0.00290311	887.218
24	0.00290311	0.00359507	888.832
25	0.00359507	0.00445095	889.151
26	0.00445095	0.0055096	888.114
27	0.0055096	0.00681904	884.528
28	0.00681904	0.00843869	884.528
29	0.00843869	0.010442	875.975
30	0.010442	0.01292	875.975
31	0.01292	inf	875.975
