time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.55656e-06	9604.35
1	7.55656e-06	1.69033e-05	9604.35
2	1.69033e-05	2.84643e-05	1684.01
3	2.84643e-05	4.27641e-05	1123.01
4	4.27641e-05	6.04515e-05	850.244
5	6.04515e-05	8.23291e-05	699.271
6	8.23291e-05	0.00010939	610.273
7	0.00010939	0.000142861	555.751
8	0.000142861	0.000184261	521.695
9	0.000184261	0.00023547	500.366
10	0.00023547	0.000298809	487.155
11	0.000298809	0.000377154	479.2
12	0.000377154	0.000474059	474.686
13	0.000474059	0.000593921	472.441
14	0.000593921	0.000742179	471.711
15	0.000742179	0.000925558	472.005
16	0.000925558	0.00115238	472.995
17	0.00115238	0.00143294	474.453
18	0.00143294	0.00177996	476.21
19	0.00177996	0.00220919	478.121
20	0.00220919	0.00274011	480.044
21	0.00274011	0.0033968	481.817
22	0.0033968	0.00420907	483.255
23	0.00420907	0.00521376	484.174
24	0.00521376	0.00645647	484.434
25	0.00645647	0.00799357	483.976
26	0.00799357	0.00989481	482.84
27	0.00989481	0.0122465	480.583
28	0.0122465	0.0151552	480.583
29	0.0151552	0.0187531	474.557
30	0.0187531	0.0232033	474.557
31	0.0232033	inf	474.557
