time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.73482e-06	3058.74
1	6.73482e-06	1.50651e-05	3058.74
2	1.50651e-05	2.53689e-05	678.072
3	2.53689e-05	3.81137e-05	574.727
4	3.81137e-05	5.38777e-05	532.391
5	5.38777e-05	7.33762e-05	514.703
6	7.33762e-05	9.7494e-05	509.312
7	9.7494e-05	0.000127325	509.864
8	0.000127325	0.000164224	513.045
9	0.000164224	0.000209863	517.227
10	0.000209863	0.000266315	521.674
11	0.000266315	0.00033614	526.055
12	0.00033614	0.000422508	530.23
13	0.000422508	0.000529335	534.155
14	0.000529335	0.00066147	537.822
15	0.00066147	0.000824908	541.247
16	0.000824908	0.00102707	544.445
17	0.00102707	0.00127711	547.423
18	0.00127711	0.0015864	550.18
19	0.0015864	0.00196895	552.71
20	0.00196895	0.00244214	554.989
21	0.00244214	0.00302742	556.976
22	0.00302742	0.00375135	558.615
23	0.00375135	0.00464679	559.855
24	0.00464679	0.00575436	560.664
25	0.00575436	0.00712431	561.036
26	0.00712431	0.0088188	560.987
27	0.0088188	0.0109147	560.413
28	0.0109147	0.0135072	560.413
29	0.0135072	0.0167138	558.941
30	0.0167138	0.02068	558.941
31	0.02068	inf	558.941
