time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.52802e-06	1834.48
1	4.52802e-06	1.01287e-05	1834.48
2	1.01287e-05	1.70563e-05	307.476
3	1.70563e-05	2.5625e-05	370.108
4	2.5625e-05	3.62236e-05	427.978
5	3.62236e-05	4.9333e-05	483.161
6	4.9333e-05	6.55481e-05	534.609
7	6.55481e-05	8.56046e-05	580.832
8	8.56046e-05	0.000110412	621.225
9	0.000110412	0.000141097	655.909
10	0.000141097	0.000179052	685.456
11	0.000179052	0.000225997	710.552
12	0.000225997	0.000284064	731.843
13	0.000284064	0.000355888	749.898
14	0.000355888	0.000444726	765.216
15	0.000444726	0.000554611	778.226
16	0.000554611	0.000690527	789.284
17	0.000690527	0.000858642	798.694
18	0.000858642	0.00106658	806.699
19	0.00106658	0.00132379	813.472
20	0.00132379	0.00164192	819.129
21	0.00164192	0.00203542	823.722
22	0.00203542	0.00252215	827.27
23	0.00252215	0.00312417	829.778
24	0.00312417	0.00386883	831.266
25	0.00386883	0.00478988	831.746
26	0.00478988	0.00592914	831.173
27	0.00592914	0.00733829	828.427
28	0.00733829	0.00908128	828.427
29	0.00908128	0.0112372	817.623
30	0.0112372	0.0139038	817.623
31	0.0139038	inf	817.623
