time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.50119e-06	4449.17
1	5.50119e-06	1.23056e-05	4449.17
2	1.23056e-05	2.0722e-05	828.921
3	2.0722e-05	3.11323e-05	723.172
4	3.11323e-05	4.40088e-05	686.961
5	4.40088e-05	5.99357e-05	673.436
6	5.99357e-05	7.96358e-05	668.392
7	7.96358e-05	0.000104003	666.965
8	0.000104003	0.000134142	667.192
9	0.000134142	0.000171422	668.236
10	0.000171422	0.000217534	669.697
11	0.000217534	0.000274569	671.348
12	0.000274569	0.000345116	673.062
13	0.000345116	0.000432375	674.751
14	0.000432375	0.000540307	676.388
15	0.000540307	0.000673808	677.948
16	0.000673808	0.000838935	679.427
17	0.000838935	0.00104318	680.815
18	0.00104318	0.00129581	682.094
19	0.00129581	0.0016083	683.234
20	0.0016083	0.0019948	684.177
21	0.0019948	0.00247288	684.841
22	0.00247288	0.00306421	685.096
23	0.00306421	0.00379562	684.779
24	0.00379562	0.00470031	683.686
25	0.00470031	0.00581933	681.55
26	0.00581933	0.00720344	678.009
27	0.00720344	0.00891544	670.22
28	0.00891544	0.011033	670.22
29	0.011033	0.0136523	652.564
30	0.0136523	0.016892	652.564
31	0.016892	inf	652.564
