time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.92557e-06	1810.65
1	4.92557e-06	1.1018e-05	1810.65
2	1.1018e-05	1.85538e-05	292.337
3	1.85538e-05	2.78748e-05	362.422
4	2.78748e-05	3.94039e-05	423.087
5	3.94039e-05	5.36643e-05	475.215
6	5.36643e-05	7.13031e-05	520.633
7	7.13031e-05	9.31205e-05	560.075
8	9.31205e-05	0.000120106	593.976
9	0.000120106	0.000153485	622.878
10	0.000153485	0.000194772	647.419
11	0.000194772	0.000245839	668.227
12	0.000245839	0.000309005	685.865
13	0.000309005	0.000387134	700.821
14	0.000387134	0.000483772	713.522
15	0.000483772	0.000603304	724.325
16	0.000603304	0.000751153	733.531
17	0.000751153	0.000934028	741.388
18	0.000934028	0.00116023	748.089
19	0.00116023	0.00144001	753.786
20	0.00144001	0.00178608	758.571
21	0.00178608	0.00221413	762.495
22	0.00221413	0.00274358	765.579
23	0.00274358	0.00339847	767.829
24	0.00339847	0.0042085	769.248
25	0.0042085	0.00521042	769.798
26	0.00521042	0.00644971	769.365
27	0.00644971	0.00798258	766.844
28	0.00798258	0.00987859	766.844
29	0.00987859	0.0122238	757.67
30	0.0122238	0.0151245	757.67
31	0.0151245	inf	757.67
