time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.97327e-06	9574.94
1	4.97327e-06	1.11247e-05	9574.94
2	1.11247e-05	1.87335e-05	1534.24
3	1.87335e-05	2.81447e-05	1150
4	2.81447e-05	3.97855e-05	988.82
5	3.97855e-05	5.4184e-05	900.971
6	5.4184e-05	7.19936e-05	846.692
7	7.19936e-05	9.40223e-05	811.02
8	9.40223e-05	0.00012127	787.042
9	0.00012127	0.000154972	770.985
10	0.000154972	0.000196658	760.463
11	0.000196658	0.00024822	753.806
12	0.00024822	0.000311997	749.844
13	0.000311997	0.000390883	747.739
14	0.000390883	0.000488457	746.907
15	0.000488457	0.000609146	746.927
16	0.000609146	0.000758427	747.5
17	0.000758427	0.000943073	748.414
18	0.000943073	0.00117146	749.506
19	0.00117146	0.00145396	750.637
20	0.00145396	0.00180337	751.656
21	0.00180337	0.00223557	752.37
22	0.00223557	0.00277015	752.532
23	0.00277015	0.00343138	751.827
24	0.00343138	0.00424925	749.9
25	0.00424925	0.00526088	746.285
26	0.00526088	0.00651217	740.278
27	0.00651217	0.00805988	725.462
28	0.00805988	0.00997426	725.462
29	0.00997426	0.0123421	675.495
30	0.0123421	0.015271	675.495
31	0.015271	inf	675.495
