time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.52577e-06	4140.22
1	6.52577e-06	1.45975e-05	4140.22
2	1.45975e-05	2.45814e-05	751.439
3	2.45814e-05	3.69306e-05	641.953
4	3.69306e-05	5.22053e-05	605.355
5	5.22053e-05	7.10985e-05	590.124
6	7.10985e-05	9.44677e-05	582.582
7	9.44677e-05	0.000123373	578.431
8	0.000123373	0.000159126	576.085
9	0.000159126	0.000203349	574.811
10	0.000203349	0.000258048	574.213
11	0.000258048	0.000325706	574.056
12	0.000325706	0.000409392	574.208
13	0.000409392	0.000512904	574.593
14	0.000512904	0.000640937	575.162
15	0.000640937	0.000799302	575.874
16	0.000799302	0.000995184	576.684
17	0.000995184	0.00123747	577.545
18	0.00123747	0.00153715	578.415
19	0.00153715	0.00190783	579.253
20	0.00190783	0.00236633	580.005
21	0.00236633	0.00293344	580.596
22	0.00293344	0.00363491	580.929
23	0.00363491	0.00450255	580.87
24	0.00450255	0.00557573	580.253
25	0.00557573	0.00690316	578.857
26	0.00690316	0.00854505	576.382
27	0.00854505	0.0105759	570.582
28	0.0105759	0.0130879	570.582
29	0.0130879	0.016195	554.199
30	0.016195	0.0200381	554.199
31	0.0200381	inf	554.199
