time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.54541e-06	1938.59
1	4.54541e-06	1.01676e-05	1938.59
2	1.01676e-05	1.71218e-05	299.803
3	1.71218e-05	2.57233e-05	364.443
4	2.57233e-05	3.63626e-05	422.345
5	3.63626e-05	4.95224e-05	476.24
6	4.95224e-05	6.57998e-05	526.599
7	6.57998e-05	8.59333e-05	572.338
8	8.59333e-05	0.000110836	612.645
9	0.000110836	0.000141639	647.525
10	0.000141639	0.000179739	677.433
11	0.000179739	0.000226865	702.983
12	0.000226865	0.000285155	724.756
13	0.000285155	0.000357254	743.28
14	0.000357254	0.000446434	759.027
15	0.000446434	0.00055674	772.406
16	0.00055674	0.000693178	783.775
17	0.000693178	0.000861938	793.433
18	0.000861938	0.00107068	801.627
19	0.00107068	0.00132887	808.537
20	0.00132887	0.00164823	814.275
21	0.00164823	0.00204324	818.884
22	0.00204324	0.00253183	822.366
23	0.00253183	0.00313617	824.701
24	0.00313617	0.00388368	825.861
25	0.00388368	0.00480827	825.789
26	0.00480827	0.00595191	824.354
27	0.00595191	0.00736647	819.854
28	0.00736647	0.00911614	819.854
29	0.00911614	0.0112803	805.711
30	0.0112803	0.0139572	805.711
31	0.0139572	inf	805.711
