time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.31823e-06	4327.69
1	5.31823e-06	1.18964e-05	4327.69
2	1.18964e-05	2.00329e-05	815.462
3	2.00329e-05	3.00969e-05	715.421
4	3.00969e-05	4.25451e-05	684.409
5	4.25451e-05	5.79424e-05	675.902
6	5.79424e-05	7.69873e-05	675.475
7	7.69873e-05	0.000100544	677.931
8	0.000100544	0.000129681	681.199
9	0.000129681	0.000165721	684.534
10	0.000165721	0.000210299	687.69
11	0.000210299	0.000265437	690.58
12	0.000265437	0.000333638	693.204
13	0.000333638	0.000417996	695.573
14	0.000417996	0.000522338	697.732
15	0.000522338	0.000651398	699.724
16	0.000651398	0.000811034	701.573
17	0.000811034	0.00100849	703.288
18	0.00100849	0.00125272	704.856
19	0.00125272	0.00155481	706.246
20	0.00155481	0.00192846	707.408
21	0.00192846	0.00239064	708.265
22	0.00239064	0.0029623	708.718
23	0.0029623	0.00366939	708.648
24	0.00366939	0.00454399	707.914
25	0.00454399	0.00562579	706.29
26	0.00562579	0.00696387	703.335
27	0.00696387	0.00861894	695.302
28	0.00861894	0.0106661	695.302
29	0.0106661	0.0131982	666.166
30	0.0131982	0.0163302	666.166
31	0.0163302	inf	666.166
