time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.91068e-06	10692.7
1	4.91068e-06	1.09847e-05	10692.7
2	1.09847e-05	1.84977e-05	1714.88
3	1.84977e-05	2.77905e-05	1266.92
4	2.77905e-05	3.92848e-05	1071.28
5	3.92848e-05	5.35021e-05	960.635
6	5.35021e-05	7.10875e-05	890.556
7	7.10875e-05	9.28389e-05	843.859
8	9.28389e-05	0.000119743	812.102
9	0.000119743	0.000153021	790.482
10	0.000153021	0.000194183	775.882
11	0.000194183	0.000245096	766.202
12	0.000245096	0.00030807	759.979
13	0.00030807	0.000385963	756.177
14	0.000385963	0.000482309	754.064
15	0.000482309	0.00060148	753.12
16	0.00060148	0.000748882	752.962
17	0.000748882	0.000931204	753.309
18	0.000931204	0.00115672	753.94
19	0.00115672	0.00143566	754.662
20	0.00143566	0.00178068	755.263
21	0.00178068	0.00220743	755.481
22	0.00220743	0.00273529	754.972
23	0.00273529	0.00338819	753.303
24	0.00338819	0.00419577	749.932
25	0.00419577	0.00519467	744.135
26	0.00519467	0.0064302	734.872
27	0.0064302	0.00795844	713.538
28	0.00795844	0.00984872	713.538
29	0.00984872	0.0121868	650.687
30	0.0121868	0.0150788	650.687
31	0.0150788	inf	650.687
