time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.27718e-06	13924.6
1	5.27718e-06	1.18045e-05	13924.6
2	1.18045e-05	1.98782e-05	2155.2
3	1.98782e-05	2.98646e-05	1491.57
4	2.98646e-05	4.22167e-05	1178.31
5	4.22167e-05	5.74951e-05	999.68
6	5.74951e-05	7.6393e-05	889.348
7	7.6393e-05	9.97678e-05	818.185
8	9.97678e-05	0.00012868	770.955
9	0.00012868	0.000164442	739.075
10	0.000164442	0.000208676	717.434
11	0.000208676	0.000263388	702.784
12	0.000263388	0.000331063	692.974
13	0.000331063	0.000414769	686.551
14	0.000414769	0.000518306	682.519
15	0.000518306	0.00064637	680.198
16	0.00064637	0.000804774	679.125
17	0.000804774	0.0010007	678.969
18	0.0010007	0.00124305	679.489
19	0.00124305	0.00154281	680.458
20	0.00154281	0.00191358	681.644
21	0.00191358	0.00237218	682.766
22	0.00237218	0.00293943	683.468
23	0.00293943	0.00364107	683.327
24	0.00364107	0.00450892	681.851
25	0.00450892	0.00558237	678.469
26	0.00558237	0.00691011	672.492
27	0.00691011	0.00855241	658.697
28	0.00855241	0.0105838	658.697
29	0.0105838	0.0130964	621.612
30	0.0130964	0.0162042	621.612
31	0.0162042	inf	621.612
