time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.69054e-06	3048.55
1	6.69054e-06	1.49661e-05	3048.55
2	1.49661e-05	2.52021e-05	753.835
3	2.52021e-05	3.7863e-05	624.064
4	3.7863e-05	5.35234e-05	566.679
5	5.35234e-05	7.28937e-05	540.681
6	7.28937e-05	9.68529e-05	530.317
7	9.68529e-05	0.000126488	527.639
8	0.000126488	0.000163144	528.498
9	0.000163144	0.000208483	530.903
10	0.000208483	0.000264564	533.942
11	0.000264564	0.00033393	537.188
12	0.00033393	0.000419729	540.443
13	0.000419729	0.000525854	543.604
14	0.000525854	0.00065712	546.618
15	0.00065712	0.000819484	549.459
16	0.000819484	0.00102031	552.109
17	0.00102031	0.00126872	554.564
18	0.00126872	0.00157597	556.819
19	0.00157597	0.00195601	558.87
20	0.00195601	0.00242608	560.696
21	0.00242608	0.00300751	562.256
22	0.00300751	0.00372668	563.482
23	0.00372668	0.00461623	564.286
24	0.00461623	0.00571652	564.577
25	0.00571652	0.00707746	564.262
26	0.00707746	0.00876081	563.251
27	0.00876081	0.0108429	560.71
28	0.0108429	0.0134184	560.71
29	0.0134184	0.0166039	553.778
30	0.0166039	0.020544	553.778
31	0.020544	inf	553.778
