time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.48862e-06	10284.6
1	7.48862e-06	1.67513e-05	10284.6
2	1.67513e-05	2.82083e-05	1701.25
3	2.82083e-05	4.23796e-05	1114.57
4	4.23796e-05	5.9908e-05	841.39
5	5.9908e-05	8.15889e-05	693.793
6	8.15889e-05	0.000108406	607.531
7	0.000108406	0.000141576	554.598
8	0.000141576	0.000182604	521.327
9	0.000182604	0.000233352	500.338
10	0.000233352	0.000296123	487.271
11	0.000296123	0.000373763	479.386
12	0.000373763	0.000469797	474.913
13	0.000469797	0.000588581	472.703
14	0.000588581	0.000735505	472.014
15	0.000735505	0.000917236	472.358
16	0.000917236	0.00114202	473.413
17	0.00114202	0.00142005	474.953
18	0.00142005	0.00176396	476.807
19	0.00176396	0.00218933	478.828
20	0.00218933	0.00271547	480.868
21	0.00271547	0.00336626	482.755
22	0.00336626	0.00417122	484.294
23	0.00417122	0.00516688	485.283
24	0.00516688	0.00639841	485.56
25	0.00639841	0.00792169	485.026
26	0.00792169	0.00980585	483.647
27	0.00980585	0.0121364	480.579
28	0.0121364	0.015019	480.579
29	0.015019	0.0185845	472.322
30	0.0185845	0.0229946	472.322
31	0.0229946	inf	472.322
