time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.42249e-06	10508.2
1	7.42249e-06	1.66034e-05	10508.2
2	1.66034e-05	2.79592e-05	1701.88
3	2.79592e-05	4.20053e-05	1123.23
4	4.20053e-05	5.93789e-05	853.825
5	5.93789e-05	8.08684e-05	705.669
6	8.08684e-05	0.000107449	617.64
7	0.000107449	0.000140326	562.993
8	0.000140326	0.000180992	528.362
9	0.000180992	0.000231292	506.341
10	0.000231292	0.000293507	492.495
11	0.000293507	0.000370462	484.02
12	0.000370462	0.000465648	479.098
13	0.000465648	0.000583383	476.56
14	0.000583383	0.00072901	475.639
15	0.00072901	0.000909136	475.841
16	0.000909136	0.00113193	476.831
17	0.00113193	0.00140751	478.377
18	0.00140751	0.00174838	480.299
19	0.00174838	0.00216999	482.436
20	0.00216999	0.00269149	484.617
21	0.00269149	0.00333653	486.643
22	0.00333653	0.00413439	488.276
23	0.00413439	0.00512125	489.275
24	0.00512125	0.00634191	489.434
25	0.00634191	0.00785174	488.624
26	0.00785174	0.00971925	486.799
27	0.00971925	0.0120292	483.038
28	0.0120292	0.0148863	483.038
29	0.0148863	0.0184203	475.06
30	0.0184203	0.0227916	475.06
31	0.0227916	inf	475.06
