time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.48503e-06	5918.26
1	3.48503e-06	7.79568e-06	5918.26
2	7.79568e-06	1.31275e-05	1115.78
3	1.31275e-05	1.97225e-05	984.617
4	1.97225e-05	2.78798e-05	943.374
5	2.78798e-05	3.79696e-05	940.055
6	3.79696e-05	5.04497e-05	952.769
7	5.04497e-05	6.58864e-05	970.136
8	6.58864e-05	8.498e-05	987.366
9	8.498e-05	0.000108597	1002.89
10	0.000108597	0.000137809	1016.44
11	0.000137809	0.000173941	1028.16
12	0.000173941	0.000218633	1038.29
13	0.000218633	0.000273912	1047.05
14	0.000273912	0.000342288	1054.65
15	0.000342288	0.000426861	1061.24
16	0.000426861	0.00053147	1066.95
17	0.00053147	0.000660861	1071.91
18	0.000660861	0.000820905	1076.17
19	0.000820905	0.00101886	1079.8
20	0.00101886	0.00126372	1082.8
21	0.00126372	0.00156658	1085.11
22	0.00156658	0.00194119	1086.63
23	0.00194119	0.00240455	1087.16
24	0.00240455	0.00297768	1086.44
25	0.00297768	0.00368658	1084.11
26	0.00368658	0.00456342	1079.6
27	0.00456342	0.00564798	1068.63
28	0.00564798	0.00698949	1068.63
29	0.00698949	0.00864879	1035.26
30	0.00864879	0.0107012	1035.26
31	0.0107012	inf	1035.26
